"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"4449","James Milner","MID","Liverpool",4.2,1,1,35,1,48.5,221,80,0,0,9.1,36.2,"2021-10-16T11:30:00Z",82,18,0,0,0,0,8,0,8288,5,0,6,7,620,1517,897,49,"False",0,8
"4453","Pierre-Emerick Aubameyang","FWD","Arsenal",6.5,0,3,33,0,15.8,4,71,2,1,9.1,40,"2021-10-18T19:00:00Z",90,7,0,0,0,0,8,0,207365,2,2,35,9,16847,37102,20255,99,"True",0,8
"4455","Fraser Forster","GK","Southampton",0,0,0,0,0,0,333,79,0,0,0,0,"2021-10-16T14:00:00Z",0,10,0,0,0,0,8,0,66065,0,1,0,0,-2422,1498,3920,44,"True",0,8
"4464","Emile Smith Rowe","MID","Arsenal",6.2,0,0,9,0,18.5,21,71,2,0,4,6.4,"2021-10-18T19:00:00Z",90,7,0,0,0,0,8,0,514516,2,2,15,2,86775,136368,49593,54,"True",0,8
"4472","Frank Onyeka","MID","Brentford",0.7,0,0,4,0,1,479,73,1,0,0.3,1.8,"2021-10-16T16:30:00Z",66,6,0,0,0,0,8,0,6163,1,0,0,2,276,781,505,49,"True",0,8
"4474","Ellery Balcombe","GK","Brentford",0,0,0,0,0,0,92,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,821,1,0,0,0,-31,0,31,40,"True",0,8
"4476","Tino Livramento","DEF","Southampton",4,0,0,21,1,12.3,491,79,0,0,3.3,15.2,"2021-10-16T14:00:00Z",90,10,0,0,0,0,8,0,1230940,0,1,5,6,182223,208018,25795,42,"True",0,8
"4482","Mads Bidstrup","MID","Brentford",-0.7,0,0,0,0,0,97,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,6514,1,0,0,0,-84,333,417,45,"True",0,8
"4484","Jack Stephens","DEF","Southampton",0,0,0,0,0,0,338,79,0,0,0,0,"2021-10-16T14:00:00Z",0,10,0,0,0,0,8,0,5933,0,1,0,0,-663,24,687,44,"True",0,8
"4485","Lyanco Evangelista Silveira Neves Vojnovic","DEF","Southampton",0,0,0,0,0,0,567,79,0,0,0,0,"2021-10-16T14:00:00Z",0,10,0,0,0,0,8,0,1276,0,1,0,0,-54,68,122,45,"True",0,8
"4496","Alex Nicolao Telles","DEF","Man Utd",0.5,0,0,0,0,0,279,75,0,0,0,0,"2021-10-16T14:00:00Z",0,9,0,0,0,0,8,0,6105,2,4,0,0,-3400,683,4083,50,"False",0,8
"4500","Roberto Firmino","FWD","Liverpool",8.8,1,3,99,1,40.6,228,80,0,3,27.7,125.4,"2021-10-16T11:30:00Z",90,18,0,0,0,0,8,0,172119,5,0,111,20,5235,11839,6604,88,"False",0,8
"4504","Harry Maguire","DEF","Man Utd",0.7,0,0,10,0,0.6,273,75,4,0,1.9,14,"2021-10-16T14:00:00Z",90,9,0,0,0,0,8,0,498892,2,4,4,0,-75475,574,76049,54,"False",0,8
"4505","Raphaël Varane","DEF","Man Utd",0,0,0,0,0,0,555,75,0,0,0,0,"2021-10-16T14:00:00Z",0,9,0,0,0,0,8,0,280521,2,4,0,0,-90338,9237,99575,55,"False",0,8
